prompt,label,domain
"summarize: Write a comprehensive executive summary of this article about macroeconomics: 'Macroeconomics has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",1,gen
"classify: Categorize the news headline: 'Tech giant launches new AI assistant with voice capabilities' into tech, business, politics, or sports.",1,logic
"classify: Perform multi-label classification on this customer feedback transcript: 'The customer service agent was very polite, but the product was delivered late and arrived damaged. I demand a full refund immediately.'",1,logic
explain: What is the capital city of London's country?,1,gen
code: Draft a four-stanza poem about the concept of organic chemistry and the flow of time.,1,gen
calculate: Solve this basic linear equation: 34x + 85 = 340,1,math
extract: Retrieve all names and emails from this list: '1. Emily - emily@example.com; 2. Alice - alice@example.org'.,1,gen
classify: Is this positive or negative: 'This product is absolute garbage!' (ID: 3),0,logic
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,0,gen
explain: Analyze this knights and knaves puzzle: Knight A says 'B is a knave'. Knight B says 'A and I are of opposite types'. What are they? (ID: 50),1,logic
translate: Translate this philosophical text to Russian: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',0,translate
"json: Create a complex nested JSON schema for an inventory management system order with recursive reference arrays, currency constraints, and status enums (ID: 46).",1,json
code: Draft a four-stanza poem about the concept of renaissance art and the flow of time.,0,gen
"translate: Translate this short phrase to Arabic: 'Good morning, where is the hotel?'",1,translate
"translate: Translate the following formal business email to Spanish: 'Dear Sir, we are writing to confirm that your shipment has been delivered successfully. Please sign the attached invoice.'",0,translate
code: Write a short haiku about renaissance art.,1,gen
"extract: Parse this scientific abstract to extract all chemical compounds, their experimental melting points, and associated error bounds: 'We observed compound EmilyX melting at 1040C +/- 1.5C, while compound EmilyY melted at 1820C +/- 2.0C.'",1,gen
classify: Is this positive or negative: 'This product is absolute garbage!' (ID: 18),0,logic
calculate: Solve this basic linear equation: 16x + 40 = 160,1,math
calculate: Solve this basic linear equation: 24x + 60 = 240,0,math
"classify: Perform multi-label classification on this customer feedback transcript: 'The customer service agent was very polite, but the product was delivered late and arrived damaged. I demand a full refund immediately.'",0,logic
explain: Analyze this knights and knaves puzzle: Knight A says 'B is a knave'. Knight B says 'A and I are of opposite types'. What are they? (ID: 58),1,logic
"extract: Parse this scientific abstract to extract all chemical compounds, their experimental melting points, and associated error bounds: 'We observed compound SarahX melting at 820C +/- 1.5C, while compound SarahY melted at 1435C +/- 2.0C.'",1,gen
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,0,gen
extract: Find the city in this text: 'We are traveling to New York next week.',0,gen
explain: What is the capital city of Sydney's country?,1,gen
"translate: Translate the following formal business email to Italian: 'Dear Sir, we are writing to confirm that your shipment has been delivered successfully. Please sign the attached invoice.'",0,translate
extract: Retrieve all names and emails from this list: '1. Michael - michael@example.com; 2. Alice - alice@example.org'.,1,gen
extract: Find the city in this text: 'We are traveling to Rome next week.',1,gen
code: Write a Python function to check if the number 143 is prime.,1,code
code: Implement a Python class representing a Binary Search Tree with insert and search methods for node 40.,1,code
"json: Create a complex nested JSON schema for an inventory management system order with recursive reference arrays, currency constraints, and status enums (ID: 60).",0,json
calculate: Solve this quadratic equation: x^2 + 81x - 108 = 0 and find both real roots.,0,math
code: Implement a Python class representing a Binary Search Tree with insert and search methods for node 24.,0,code
json: Generate a valid JSON schema representing a user profile containing email validation and nested address fields (ID: 40).,0,json
"calculate: Evaluate the definite integral of x * sin(48x) from 0 to pi, showing all integration by parts steps.",0,math
calculate: Solve this basic linear equation: 22x + 55 = 220,1,math
translate: Translate this philosophical text to Russian: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',1,translate
code: Implement a Python class representing a Binary Search Tree with insert and search methods for node 33.,1,code
code: Write a short haiku about inflation rates.,1,gen
json: Generate a valid JSON schema representing a user profile containing email validation and nested address fields (ID: 33).,1,json
explain: Analyze this knights and knaves puzzle: Knight A says 'B is a knave'. Knight B says 'A and I are of opposite types'. What are they? (ID: 59),1,logic
summarize: Shorten this short statement about quantum physics: 'The quick development of technologies has changed our daily routines in many unexpected ways.',0,gen
"calculate: Evaluate the definite integral of x * sin(45x) from 0 to pi, showing all integration by parts steps.",0,math
"classify: Categorize the news headline: 'Tech giant launches new AI assistant with voice capabilities' into tech, business, politics, or sports.",1,logic
code: Draft a four-stanza poem about the concept of macroeconomics and the flow of time.,1,gen
calculate: Solve this quadratic equation: x^2 + 78x - 104 = 0 and find both real roots.,0,math
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",0,gen
"translate: Translate this short phrase to French: 'Good morning, where is the hotel?'",1,translate
extract: Find the city in this text: 'We are traveling to Sydney next week.',1,gen
translate: Translate this philosophical text to Japanese: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',0,translate
explain: Analyze this knights and knaves puzzle: Knight A says 'B is a knave'. Knight B says 'A and I are of opposite types'. What are they? (ID: 60),1,logic
translate: Translate this philosophical text to Italian: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',0,translate
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",0,gen
code: Design a multi-threaded web crawler in C++ that respects robots.txt and uses a thread pool of size 47.,0,code
translate: Translate this philosophical text to French: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',1,translate
"translate: Translate the following formal business email to Arabic: 'Dear Sir, we are writing to confirm that your shipment has been delivered successfully. Please sign the attached invoice.'",1,translate
"translate: Translate this short phrase to Italian: 'Good morning, where is the hotel?'",1,translate
explain: What is the capital city of Cairo's country?,1,gen
code: Draft a four-stanza poem about the concept of artificial intelligence and the flow of time.,1,gen
"summarize: Write a comprehensive executive summary of this article about quantum physics: 'Quantum physics has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",0,gen
"classify: Categorize the news headline: 'Tech giant launches new AI assistant with voice capabilities' into tech, business, politics, or sports.",0,logic
"calculate: Evaluate the definite integral of x * sin(57x) from 0 to pi, showing all integration by parts steps.",0,math
calculate: Solve this basic linear equation: 12x + 30 = 120,0,math
code: Write a short haiku about clean energy.,1,gen
code: Write a short haiku about organic chemistry.,1,gen
code: Implement a Python class representing a Binary Search Tree with insert and search methods for node 36.,0,code
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,1,gen
code: Design a multi-threaded web crawler in C++ that respects robots.txt and uses a thread pool of size 55.,0,code
code: Write a Python function to check if the number 78 is prime.,1,code
"extract: Parse this scientific abstract to extract all chemical compounds, their experimental melting points, and associated error bounds: 'We observed compound JessicaX melting at 1100C +/- 1.5C, while compound JessicaY melted at 1925C +/- 2.0C.'",0,gen
code: Write a Python function to check if the number 182 is prime.,0,code
"classify: Categorize the news headline: 'Tech giant launches new AI assistant with voice capabilities' into tech, business, politics, or sports.",0,logic
code: Write a Python function to check if the number 52 is prime.,0,code
"code: Write a complete movie script scene set in a base on Mars, including character dialogues, stage directions, and audio cues about macroeconomics.",0,gen
explain: Analyze this knights and knaves puzzle: Knight A says 'B is a knave'. Knight B says 'A and I are of opposite types'. What are they? (ID: 48),0,logic
explain: What is the capital city of Paris's country?,1,gen
"summarize: Write a comprehensive executive summary of this article about space exploration: 'Space exploration has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",1,gen
"classify: Perform multi-label classification on this customer feedback transcript: 'The customer service agent was very polite, but the product was delivered late and arrived damaged. I demand a full refund immediately.'",1,logic
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",0,gen
calculate: Solve this quadratic equation: x^2 + 75x - 100 = 0 and find both real roots.,1,math
code: Write a Python function to check if the number 91 is prime.,0,code
"extract: Parse this scientific abstract to extract all chemical compounds, their experimental melting points, and associated error bounds: 'We observed compound AlexX melting at 920C +/- 1.5C, while compound AlexY melted at 1610C +/- 2.0C.'",1,gen
code: Implement a Python class representing a Binary Search Tree with insert and search methods for node 23.,0,code
code: Implement a Python class representing a Binary Search Tree with insert and search methods for node 37.,1,code
summarize: Shorten this short statement about macroeconomics: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
"translate: Translate this short phrase to German: 'Good morning, where is the hotel?'",1,translate
"extract: Parse this scientific abstract to extract all chemical compounds, their experimental melting points, and associated error bounds: 'We observed compound MichaelX melting at 1060C +/- 1.5C, while compound MichaelY melted at 1855C +/- 2.0C.'",0,gen
"explain: A farmer needs to cross a river with a wolf, a goat, and a cabbage. If left alone, the wolf eats goat, or goat eats cabbage. Explain the steps to cross safely. (ID: 29)",0,logic
calculate: Solve this quadratic equation: x^2 + 108x - 144 = 0 and find both real roots.,0,math
"summarize: Write a single-sentence summary of this paragraph about clean energy: 'Greenhouse gas emissions continue to rise globally, exacerbating extreme weather patterns. Experts emphasize that transitioning to renewable sources is critical to prevent rising sea levels.'",1,gen
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",1,gen
"summarize: Write a comprehensive executive summary of this article about renaissance art: 'Renaissance art has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",1,gen
classify: Is this positive or negative: 'This product is absolute garbage!' (ID: 12),0,logic
"code: Write a complete movie script scene set in a base on Mars, including character dialogues, stage directions, and audio cues about artificial intelligence.",1,gen
code: Design a multi-threaded web crawler in C++ that respects robots.txt and uses a thread pool of size 46.,0,code
explain: Analyze this knights and knaves puzzle: Knight A says 'B is a knave'. Knight B says 'A and I are of opposite types'. What are they? (ID: 55),1,logic
calculate: Solve this basic linear equation: 18x + 45 = 180,1,math
code: Design a multi-threaded web crawler in C++ that respects robots.txt and uses a thread pool of size 59.,1,code
"explain: A farmer needs to cross a river with a wolf, a goat, and a cabbage. If left alone, the wolf eats goat, or goat eats cabbage. Explain the steps to cross safely. (ID: 27)",0,logic
code: Write a short haiku about space exploration.,0,gen
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",1,gen
"classify: Categorize the news headline: 'Tech giant launches new AI assistant with voice capabilities' into tech, business, politics, or sports.",1,logic
classify: Is this positive or negative: 'This product is absolute garbage!' (ID: 6),1,logic
explain: Analyze this knights and knaves puzzle: Knight A says 'B is a knave'. Knight B says 'A and I are of opposite types'. What are they? (ID: 52),0,logic
extract: Retrieve all names and emails from this list: '1. John - john@example.com; 2. Alice - alice@example.org'.,1,gen
extract: Retrieve all names and emails from this list: '1. Jessica - jessica@example.com; 2. Alice - alice@example.org'.,0,gen
"code: Write a complete movie script scene set in a base on Mars, including character dialogues, stage directions, and audio cues about organic chemistry.",1,gen
"calculate: Evaluate the definite integral of x * sin(42x) from 0 to pi, showing all integration by parts steps.",0,math
translate: Translate this philosophical text to Korean: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',1,translate
"classify: Categorize the news headline: 'Tech giant launches new AI assistant with voice capabilities' into tech, business, politics, or sports.",0,logic
"json: Create a complex nested JSON schema for an inventory management system order with recursive reference arrays, currency constraints, and status enums (ID: 59).",1,json
calculate: Solve this quadratic equation: x^2 + 84x - 112 = 0 and find both real roots.,0,math
"translate: Translate the following formal business email to Chinese: 'Dear Sir, we are writing to confirm that your shipment has been delivered successfully. Please sign the attached invoice.'",1,translate
code: Implement a Python class representing a Binary Search Tree with insert and search methods for node 39.,0,code
"classify: Perform multi-label classification on this customer feedback transcript: 'The customer service agent was very polite, but the product was delivered late and arrived damaged. I demand a full refund immediately.'",0,logic
json: Generate a simple JSON object representing a book with fields 'title' and 'author' (ID: 7).,1,json
"extract: Parse this scientific abstract to extract all chemical compounds, their experimental melting points, and associated error bounds: 'We observed compound SarahX melting at 1020C +/- 1.5C, while compound SarahY melted at 1785C +/- 2.0C.'",1,gen
extract: Find the city in this text: 'We are traveling to Cairo next week.',1,gen
explain: What is the capital city of Rome's country?,1,gen
"explain: If box A is inside box B, and box B is inside box C, is box A inside box C? (ID: 14)",0,logic
json: Generate a simple JSON object representing a book with fields 'title' and 'author' (ID: 9).,0,json
summarize: Shorten this short statement about space exploration: 'The quick development of technologies has changed our daily routines in many unexpected ways.',0,gen
extract: Retrieve all names and emails from this list: '1. Michael - michael@example.com; 2. Alice - alice@example.org'.,1,gen
"explain: If box A is inside box B, and box B is inside box C, is box A inside box C? (ID: 20)",1,logic
explain: Analyze this knights and knaves puzzle: Knight A says 'B is a knave'. Knight B says 'A and I are of opposite types'. What are they? (ID: 57),1,logic
"explain: A farmer needs to cross a river with a wolf, a goat, and a cabbage. If left alone, the wolf eats goat, or goat eats cabbage. Explain the steps to cross safely. (ID: 24)",1,logic
"classify: Perform multi-label classification on this customer feedback transcript: 'The customer service agent was very polite, but the product was delivered late and arrived damaged. I demand a full refund immediately.'",0,logic
code: Draft a four-stanza poem about the concept of quantum physics and the flow of time.,1,gen
"json: Create a complex nested JSON schema for an inventory management system order with recursive reference arrays, currency constraints, and status enums (ID: 47).",0,json
code: Draft a four-stanza poem about the concept of renaissance art and the flow of time.,1,gen
"classify: Perform multi-label classification on this customer feedback transcript: 'The customer service agent was very polite, but the product was delivered late and arrived damaged. I demand a full refund immediately.'",1,logic
"translate: Translate this short phrase to Korean: 'Good morning, where is the hotel?'",1,translate
code: Draft a four-stanza poem about the concept of clean energy and the flow of time.,1,gen
"classify: Perform multi-label classification on this customer feedback transcript: 'The customer service agent was very polite, but the product was delivered late and arrived damaged. I demand a full refund immediately.'",0,logic
code: Write a Python function to check if the number 221 is prime.,0,code
"json: Create a complex nested JSON schema for an inventory management system order with recursive reference arrays, currency constraints, and status enums (ID: 52).",0,json
extract: Find the city in this text: 'We are traveling to London next week.',1,gen
summarize: Shorten this short statement about renaissance art: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
"json: Create a complex nested JSON schema for an inventory management system order with recursive reference arrays, currency constraints, and status enums (ID: 53).",1,json
"classify: Categorize the news headline: 'Tech giant launches new AI assistant with voice capabilities' into tech, business, politics, or sports.",1,logic
"translate: Translate the following formal business email to French: 'Dear Sir, we are writing to confirm that your shipment has been delivered successfully. Please sign the attached invoice.'",1,translate
classify: Is this positive or negative: 'This product is absolute garbage!' (ID: 9),0,logic
code: Implement a Python class representing a Binary Search Tree with insert and search methods for node 30.,0,code
json: Generate a valid JSON schema representing a user profile containing email validation and nested address fields (ID: 31).,1,json
classify: Is this positive or negative: 'This product is absolute garbage!' (ID: 10),0,logic
"json: Create a complex nested JSON schema for an inventory management system order with recursive reference arrays, currency constraints, and status enums (ID: 45).",0,json
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",1,gen
"classify: Categorize the news headline: 'Tech giant launches new AI assistant with voice capabilities' into tech, business, politics, or sports.",0,logic
"summarize: Write a comprehensive executive summary of this article about artificial intelligence: 'Artificial intelligence has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",1,gen
explain: What is the capital city of Rome's country?,1,gen
"json: Create a complex nested JSON schema for an inventory management system order with recursive reference arrays, currency constraints, and status enums (ID: 55).",1,json
"summarize: Write a single-sentence summary of this paragraph about macroeconomics: 'Greenhouse gas emissions continue to rise globally, exacerbating extreme weather patterns. Experts emphasize that transitioning to renewable sources is critical to prevent rising sea levels.'",1,gen
"code: Write a complete movie script scene set in a base on Mars, including character dialogues, stage directions, and audio cues about inflation rates.",0,gen
code: Write a short haiku about macroeconomics.,1,gen
code: Implement a Python class representing a Binary Search Tree with insert and search methods for node 28.,0,code
extract: Find the city in this text: 'We are traveling to Berlin next week.',1,gen
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,1,gen
classify: Is this positive or negative: 'This product is absolute garbage!' (ID: 13),0,logic
"code: Write a complete movie script scene set in a base on Mars, including character dialogues, stage directions, and audio cues about quantum physics.",0,gen
extract: Find the city in this text: 'We are traveling to Paris next week.',1,gen
"classify: Perform multi-label classification on this customer feedback transcript: 'The customer service agent was very polite, but the product was delivered late and arrived damaged. I demand a full refund immediately.'",1,logic
"extract: Parse this scientific abstract to extract all chemical compounds, their experimental melting points, and associated error bounds: 'We observed compound DavidX melting at 1080C +/- 1.5C, while compound DavidY melted at 1890C +/- 2.0C.'",1,gen
"classify: Perform multi-label classification on this customer feedback transcript: 'The customer service agent was very polite, but the product was delivered late and arrived damaged. I demand a full refund immediately.'",0,logic
code: Write a short haiku about renaissance art.,1,gen
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",1,gen
calculate: Solve this quadratic equation: x^2 + 105x - 140 = 0 and find both real roots.,1,math
extract: Retrieve all names and emails from this list: '1. Sophia - sophia@example.com; 2. Alice - alice@example.org'.,1,gen
code: Write a Python function to check if the number 195 is prime.,0,code
"code: Write a complete movie script scene set in a base on Mars, including character dialogues, stage directions, and audio cues about space exploration.",0,gen
calculate: Solve this quadratic equation: x^2 + 72x - 96 = 0 and find both real roots.,1,math
"summarize: Write a single-sentence summary of this paragraph about space exploration: 'Greenhouse gas emissions continue to rise globally, exacerbating extreme weather patterns. Experts emphasize that transitioning to renewable sources is critical to prevent rising sea levels.'",0,gen
"summarize: Write a comprehensive executive summary of this article about organic chemistry: 'Organic chemistry has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",0,gen
"code: Write a complete movie script scene set in a base on Mars, including character dialogues, stage directions, and audio cues about quantum physics.",1,gen
"code: Write a complete movie script scene set in a base on Mars, including character dialogues, stage directions, and audio cues about artificial intelligence.",0,gen
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,0,gen
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",1,gen
translate: Translate this philosophical text to Italian: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',1,translate
"json: Create a complex nested JSON schema for an inventory management system order with recursive reference arrays, currency constraints, and status enums (ID: 48).",1,json
extract: Find the city in this text: 'We are traveling to London next week.',1,gen
"json: Create a complex nested JSON schema for an inventory management system order with recursive reference arrays, currency constraints, and status enums (ID: 41).",1,json
"classify: Perform multi-label classification on this customer feedback transcript: 'The customer service agent was very polite, but the product was delivered late and arrived damaged. I demand a full refund immediately.'",0,logic
code: Write a short haiku about artificial intelligence.,1,gen
extract: Retrieve all names and emails from this list: '1. David - david@example.com; 2. Alice - alice@example.org'.,1,gen
"explain: If box A is inside box B, and box B is inside box C, is box A inside box C? (ID: 5)",0,logic
json: Generate a simple JSON object representing a book with fields 'title' and 'author' (ID: 10).,1,json
"classify: Categorize the news headline: 'Tech giant launches new AI assistant with voice capabilities' into tech, business, politics, or sports.",0,logic
"classify: Categorize the news headline: 'Tech giant launches new AI assistant with voice capabilities' into tech, business, politics, or sports.",0,logic
"classify: Categorize the news headline: 'Tech giant launches new AI assistant with voice capabilities' into tech, business, politics, or sports.",0,logic
calculate: Solve this quadratic equation: x^2 + 93x - 124 = 0 and find both real roots.,0,math
code: Design a multi-threaded web crawler in C++ that respects robots.txt and uses a thread pool of size 44.,0,code
json: Generate a valid JSON schema representing a user profile containing email validation and nested address fields (ID: 29).,1,json
code: Design a multi-threaded web crawler in C++ that respects robots.txt and uses a thread pool of size 56.,0,code
summarize: Shorten this short statement about renaissance art: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,0,gen
"calculate: Evaluate the definite integral of x * sin(50x) from 0 to pi, showing all integration by parts steps.",0,math
explain: What is the capital city of Berlin's country?,1,gen
calculate: Solve this basic linear equation: 8x + 20 = 80,0,math
"calculate: Evaluate the definite integral of x * sin(60x) from 0 to pi, showing all integration by parts steps.",1,math
classify: Is this positive or negative: 'This product is absolute garbage!' (ID: 1),1,logic
"calculate: Evaluate the definite integral of x * sin(41x) from 0 to pi, showing all integration by parts steps.",1,math
"translate: Translate the following formal business email to Russian: 'Dear Sir, we are writing to confirm that your shipment has been delivered successfully. Please sign the attached invoice.'",0,translate
"code: Write a complete movie script scene set in a base on Mars, including character dialogues, stage directions, and audio cues about organic chemistry.",1,gen
