prompt,label,domain
json: Generate a valid JSON schema representing a user profile containing email validation and nested address fields (ID: 27).,1,json
classify: Is this positive or negative: 'This product is absolute garbage!' (ID: 7),1,logic
extract: Find the city in this text: 'We are traveling to Rome next week.',1,gen
"classify: Categorize the news headline: 'Tech giant launches new AI assistant with voice capabilities' into tech, business, politics, or sports.",1,logic
"classify: Categorize the news headline: 'Tech giant launches new AI assistant with voice capabilities' into tech, business, politics, or sports.",0,logic
"code: Write a complete movie script scene set in a base on Mars, including character dialogues, stage directions, and audio cues about space exploration.",0,gen
summarize: Shorten this short statement about clean energy: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
explain: Analyze this knights and knaves puzzle: Knight A says 'B is a knave'. Knight B says 'A and I are of opposite types'. What are they? (ID: 44),0,logic
summarize: Shorten this short statement about organic chemistry: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
"translate: Translate the following formal business email to German: 'Dear Sir, we are writing to confirm that your shipment has been delivered successfully. Please sign the attached invoice.'",1,translate
extract: Retrieve all names and emails from this list: '1. John - john@example.com; 2. Alice - alice@example.org'.,1,gen
"summarize: Write a single-sentence summary of this paragraph about renaissance art: 'Greenhouse gas emissions continue to rise globally, exacerbating extreme weather patterns. Experts emphasize that transitioning to renewable sources is critical to prevent rising sea levels.'",1,gen
"summarize: Write a comprehensive executive summary of this article about space exploration: 'Space exploration has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",1,gen
code: Implement a Python class representing a Binary Search Tree with insert and search methods for node 26.,1,code
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",1,gen
"explain: A farmer needs to cross a river with a wolf, a goat, and a cabbage. If left alone, the wolf eats goat, or goat eats cabbage. Explain the steps to cross safely. (ID: 26)",1,logic
"translate: Translate the following formal business email to Russian: 'Dear Sir, we are writing to confirm that your shipment has been delivered successfully. Please sign the attached invoice.'",1,translate
code: Write a Python function to check if the number 247 is prime.,0,code
code: Draft a four-stanza poem about the concept of inflation rates and the flow of time.,1,gen
"translate: Translate this short phrase to Japanese: 'Good morning, where is the hotel?'",1,translate
"summarize: Write a comprehensive executive summary of this article about inflation rates: 'Inflation rates has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",0,gen
"summarize: Write a single-sentence summary of this paragraph about artificial intelligence: 'Greenhouse gas emissions continue to rise globally, exacerbating extreme weather patterns. Experts emphasize that transitioning to renewable sources is critical to prevent rising sea levels.'",1,gen
code: Draft a four-stanza poem about the concept of space exploration and the flow of time.,0,gen
"summarize: Write a single-sentence summary of this paragraph about artificial intelligence: 'Greenhouse gas emissions continue to rise globally, exacerbating extreme weather patterns. Experts emphasize that transitioning to renewable sources is critical to prevent rising sea levels.'",1,gen
calculate: Solve this quadratic equation: x^2 + 90x - 120 = 0 and find both real roots.,0,math
code: Draft a four-stanza poem about the concept of clean energy and the flow of time.,1,gen
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,0,gen
json: Generate a simple JSON object representing a book with fields 'title' and 'author' (ID: 8).,1,json
json: Generate a valid JSON schema representing a user profile containing email validation and nested address fields (ID: 35).,0,json
code: Write a short haiku about artificial intelligence.,1,gen
json: Generate a valid JSON schema representing a user profile containing email validation and nested address fields (ID: 30).,1,json
"code: Write a complete movie script scene set in a base on Mars, including character dialogues, stage directions, and audio cues about inflation rates.",1,gen
code: Write a short haiku about inflation rates.,1,gen
"explain: If box A is inside box B, and box B is inside box C, is box A inside box C? (ID: 18)",1,logic
json: Generate a simple JSON object representing a book with fields 'title' and 'author' (ID: 18).,0,json
"explain: If box A is inside box B, and box B is inside box C, is box A inside box C? (ID: 11)",1,logic
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",0,gen
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,1,gen
"classify: Categorize the news headline: 'Tech giant launches new AI assistant with voice capabilities' into tech, business, politics, or sports.",0,logic
code: Design a multi-threaded web crawler in C++ that respects robots.txt and uses a thread pool of size 58.,0,code
json: Generate a valid JSON schema representing a user profile containing email validation and nested address fields (ID: 23).,0,json
explain: What is the capital city of Tokyo's country?,1,gen
extract: Find the city in this text: 'We are traveling to Toronto next week.',0,gen
explain: Analyze this knights and knaves puzzle: Knight A says 'B is a knave'. Knight B says 'A and I are of opposite types'. What are they? (ID: 47),0,logic
"translate: Translate this short phrase to German: 'Good morning, where is the hotel?'",1,translate
code: Design a multi-threaded web crawler in C++ that respects robots.txt and uses a thread pool of size 62.,0,code
calculate: Solve this quadratic equation: x^2 + 96x - 128 = 0 and find both real roots.,0,math
explain: What is the capital city of Sydney's country?,1,gen
calculate: Solve this quadratic equation: x^2 + 69x - 92 = 0 and find both real roots.,0,math
"summarize: Write a single-sentence summary of this paragraph about renaissance art: 'Greenhouse gas emissions continue to rise globally, exacerbating extreme weather patterns. Experts emphasize that transitioning to renewable sources is critical to prevent rising sea levels.'",0,gen
code: Write a Python function to check if the number 13 is prime.,1,code
json: Generate a simple JSON object representing a book with fields 'title' and 'author' (ID: 13).,1,json
"summarize: Write a single-sentence summary of this paragraph about space exploration: 'Greenhouse gas emissions continue to rise globally, exacerbating extreme weather patterns. Experts emphasize that transitioning to renewable sources is critical to prevent rising sea levels.'",0,gen
code: Draft a four-stanza poem about the concept of quantum physics and the flow of time.,1,gen
"explain: A farmer needs to cross a river with a wolf, a goat, and a cabbage. If left alone, the wolf eats goat, or goat eats cabbage. Explain the steps to cross safely. (ID: 37)",0,logic
"explain: If box A is inside box B, and box B is inside box C, is box A inside box C? (ID: 10)",1,logic
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",0,gen
"json: Create a complex nested JSON schema for an inventory management system order with recursive reference arrays, currency constraints, and status enums (ID: 57).",1,json
"classify: Categorize the news headline: 'Tech giant launches new AI assistant with voice capabilities' into tech, business, politics, or sports.",1,logic
"translate: Translate the following formal business email to Italian: 'Dear Sir, we are writing to confirm that your shipment has been delivered successfully. Please sign the attached invoice.'",1,translate
"summarize: Write a single-sentence summary of this paragraph about clean energy: 'Greenhouse gas emissions continue to rise globally, exacerbating extreme weather patterns. Experts emphasize that transitioning to renewable sources is critical to prevent rising sea levels.'",1,gen
"summarize: Write a comprehensive executive summary of this article about space exploration: 'Space exploration has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",0,gen
json: Generate a valid JSON schema representing a user profile containing email validation and nested address fields (ID: 21).,0,json
extract: Retrieve all names and emails from this list: '1. David - david@example.com; 2. Alice - alice@example.org'.,1,gen
explain: What is the capital city of London's country?,1,gen
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,1,gen
"classify: Perform multi-label classification on this customer feedback transcript: 'The customer service agent was very polite, but the product was delivered late and arrived damaged. I demand a full refund immediately.'",0,logic
extract: Find the city in this text: 'We are traveling to Sydney next week.',1,gen
code: Write a Python function to check if the number 234 is prime.,1,code
"explain: A farmer needs to cross a river with a wolf, a goat, and a cabbage. If left alone, the wolf eats goat, or goat eats cabbage. Explain the steps to cross safely. (ID: 38)",1,logic
code: Write a Python function to check if the number 39 is prime.,0,code
"classify: Categorize the news headline: 'Tech giant launches new AI assistant with voice capabilities' into tech, business, politics, or sports.",0,logic
extract: Find the city in this text: 'We are traveling to New York next week.',1,gen
"extract: Parse this scientific abstract to extract all chemical compounds, their experimental melting points, and associated error bounds: 'We observed compound DavidX melting at 880C +/- 1.5C, while compound DavidY melted at 1540C +/- 2.0C.'",1,gen
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,0,gen
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,1,gen
explain: What is the capital city of New York's country?,1,gen
explain: Analyze this knights and knaves puzzle: Knight A says 'B is a knave'. Knight B says 'A and I are of opposite types'. What are they? (ID: 45),0,logic
"classify: Perform multi-label classification on this customer feedback transcript: 'The customer service agent was very polite, but the product was delivered late and arrived damaged. I demand a full refund immediately.'",0,logic
code: Implement a Python class representing a Binary Search Tree with insert and search methods for node 32.,1,code
classify: Is this positive or negative: 'This product is absolute garbage!' (ID: 8),1,logic
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,0,gen
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",0,gen
extract: Find the city in this text: 'We are traveling to Paris next week.',0,gen
"extract: Parse this scientific abstract to extract all chemical compounds, their experimental melting points, and associated error bounds: 'We observed compound RobertX melting at 1160C +/- 1.5C, while compound RobertY melted at 2030C +/- 2.0C.'",0,gen
"translate: Translate this short phrase to Spanish: 'Good morning, where is the hotel?'",1,translate
json: Generate a valid JSON schema representing a user profile containing email validation and nested address fields (ID: 25).,0,json
code: Write a short haiku about quantum physics.,1,gen
explain: Analyze this knights and knaves puzzle: Knight A says 'B is a knave'. Knight B says 'A and I are of opposite types'. What are they? (ID: 43),1,logic
summarize: Shorten this short statement about organic chemistry: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
translate: Translate this philosophical text to German: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',0,translate
"explain: A farmer needs to cross a river with a wolf, a goat, and a cabbage. If left alone, the wolf eats goat, or goat eats cabbage. Explain the steps to cross safely. (ID: 21)",1,logic
calculate: Solve this basic linear equation: 28x + 70 = 280,1,math
"calculate: Evaluate the definite integral of x * sin(49x) from 0 to pi, showing all integration by parts steps.",0,math
json: Generate a valid JSON schema representing a user profile containing email validation and nested address fields (ID: 22).,1,json
"classify: Perform multi-label classification on this customer feedback transcript: 'The customer service agent was very polite, but the product was delivered late and arrived damaged. I demand a full refund immediately.'",0,logic
translate: Translate this philosophical text to Korean: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',1,translate
"summarize: Write a single-sentence summary of this paragraph about macroeconomics: 'Greenhouse gas emissions continue to rise globally, exacerbating extreme weather patterns. Experts emphasize that transitioning to renewable sources is critical to prevent rising sea levels.'",0,gen
"translate: Translate this short phrase to Chinese: 'Good morning, where is the hotel?'",1,translate
json: Generate a valid JSON schema representing a user profile containing email validation and nested address fields (ID: 24).,1,json
"translate: Translate this short phrase to Arabic: 'Good morning, where is the hotel?'",1,translate
"code: Write a complete movie script scene set in a base on Mars, including character dialogues, stage directions, and audio cues about macroeconomics.",1,gen
json: Generate a valid JSON schema representing a user profile containing email validation and nested address fields (ID: 34).,1,json
"explain: If box A is inside box B, and box B is inside box C, is box A inside box C? (ID: 6)",0,logic
"calculate: Evaluate the definite integral of x * sin(59x) from 0 to pi, showing all integration by parts steps.",1,math
"extract: Parse this scientific abstract to extract all chemical compounds, their experimental melting points, and associated error bounds: 'We observed compound JessicaX melting at 900C +/- 1.5C, while compound JessicaY melted at 1575C +/- 2.0C.'",0,gen
code: Write a short haiku about quantum physics.,0,gen
json: Generate a simple JSON object representing a book with fields 'title' and 'author' (ID: 1).,1,json
"translate: Translate this short phrase to French: 'Good morning, where is the hotel?'",1,translate
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,0,gen
"classify: Perform multi-label classification on this customer feedback transcript: 'The customer service agent was very polite, but the product was delivered late and arrived damaged. I demand a full refund immediately.'",0,logic
"summarize: Write a comprehensive executive summary of this article about inflation rates: 'Inflation rates has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",1,gen
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",0,gen
"explain: A farmer needs to cross a river with a wolf, a goat, and a cabbage. If left alone, the wolf eats goat, or goat eats cabbage. Explain the steps to cross safely. (ID: 33)",1,logic
json: Generate a simple JSON object representing a book with fields 'title' and 'author' (ID: 2).,1,json
"json: Create a complex nested JSON schema for an inventory management system order with recursive reference arrays, currency constraints, and status enums (ID: 56).",1,json
code: Draft a four-stanza poem about the concept of renaissance art and the flow of time.,0,gen
translate: Translate this philosophical text to German: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',1,translate
code: Write a Python function to check if the number 130 is prime.,0,code
explain: What is the capital city of Cairo's country?,1,gen
"code: Write a complete movie script scene set in a base on Mars, including character dialogues, stage directions, and audio cues about renaissance art.",1,gen
"summarize: Write a single-sentence summary of this paragraph about clean energy: 'Greenhouse gas emissions continue to rise globally, exacerbating extreme weather patterns. Experts emphasize that transitioning to renewable sources is critical to prevent rising sea levels.'",1,gen
classify: Is this positive or negative: 'This product is absolute garbage!' (ID: 11),1,logic
calculate: Solve this basic linear equation: 36x + 90 = 360,0,math
summarize: Shorten this short statement about macroeconomics: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
code: Implement a Python class representing a Binary Search Tree with insert and search methods for node 22.,1,code
code: Draft a four-stanza poem about the concept of macroeconomics and the flow of time.,1,gen
"translate: Translate this short phrase to Portuguese: 'Good morning, where is the hotel?'",1,translate
calculate: Solve this basic linear equation: 10x + 25 = 100,0,math
"explain: If box A is inside box B, and box B is inside box C, is box A inside box C? (ID: 17)",1,logic
"summarize: Write a comprehensive executive summary of this article about clean energy: 'Clean energy has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",1,gen
code: Design a multi-threaded web crawler in C++ that respects robots.txt and uses a thread pool of size 51.,0,code
code: Write a Python function to check if the number 104 is prime.,0,code
"summarize: Write a comprehensive executive summary of this article about macroeconomics: 'Macroeconomics has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",1,gen
"classify: Perform multi-label classification on this customer feedback transcript: 'The customer service agent was very polite, but the product was delivered late and arrived damaged. I demand a full refund immediately.'",0,logic
"explain: A farmer needs to cross a river with a wolf, a goat, and a cabbage. If left alone, the wolf eats goat, or goat eats cabbage. Explain the steps to cross safely. (ID: 23)",0,logic
"summarize: Write a comprehensive executive summary of this article about renaissance art: 'Renaissance art has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",0,gen
calculate: Solve this basic linear equation: 20x + 50 = 200,0,math
"json: Create a complex nested JSON schema for an inventory management system order with recursive reference arrays, currency constraints, and status enums (ID: 54).",0,json
explain: What is the capital city of Beijing's country?,1,gen
summarize: Shorten this short statement about artificial intelligence: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
code: Design a multi-threaded web crawler in C++ that respects robots.txt and uses a thread pool of size 54.,0,code
"code: Write a complete movie script scene set in a base on Mars, including character dialogues, stage directions, and audio cues about quantum physics.",0,gen
json: Generate a simple JSON object representing a book with fields 'title' and 'author' (ID: 14).,1,json
translate: Translate this philosophical text to Chinese: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',1,translate
classify: Is this positive or negative: 'This product is absolute garbage!' (ID: 16),1,logic
calculate: Solve this quadratic equation: x^2 + 63x - 84 = 0 and find both real roots.,0,math
calculate: Solve this quadratic equation: x^2 + 111x - 148 = 0 and find both real roots.,0,math
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,0,gen
summarize: Shorten this short statement about inflation rates: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",1,gen
"extract: Parse this scientific abstract to extract all chemical compounds, their experimental melting points, and associated error bounds: 'We observed compound MichaelX melting at 860C +/- 1.5C, while compound MichaelY melted at 1505C +/- 2.0C.'",0,gen
"translate: Translate this short phrase to Japanese: 'Good morning, where is the hotel?'",1,translate
code: Draft a four-stanza poem about the concept of artificial intelligence and the flow of time.,1,gen
code: Draft a four-stanza poem about the concept of space exploration and the flow of time.,0,gen
"code: Write a complete movie script scene set in a base on Mars, including character dialogues, stage directions, and audio cues about inflation rates.",0,gen
"classify: Perform multi-label classification on this customer feedback transcript: 'The customer service agent was very polite, but the product was delivered late and arrived damaged. I demand a full refund immediately.'",1,logic
code: Design a multi-threaded web crawler in C++ that respects robots.txt and uses a thread pool of size 48.,0,code
translate: Translate this philosophical text to Arabic: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',0,translate
extract: Retrieve all names and emails from this list: '1. Robert - robert@example.com; 2. Alice - alice@example.org'.,0,gen
"translate: Translate this short phrase to Italian: 'Good morning, where is the hotel?'",1,translate
"code: Write a complete movie script scene set in a base on Mars, including character dialogues, stage directions, and audio cues about space exploration.",0,gen
calculate: Solve this basic linear equation: 38x + 95 = 380,1,math
"extract: Parse this scientific abstract to extract all chemical compounds, their experimental melting points, and associated error bounds: 'We observed compound SophiaX melting at 940C +/- 1.5C, while compound SophiaY melted at 1645C +/- 2.0C.'",1,gen
"translate: Translate the following formal business email to German: 'Dear Sir, we are writing to confirm that your shipment has been delivered successfully. Please sign the attached invoice.'",1,translate
"extract: Parse this scientific abstract to extract all chemical compounds, their experimental melting points, and associated error bounds: 'We observed compound JohnX melting at 1000C +/- 1.5C, while compound JohnY melted at 1750C +/- 2.0C.'",1,gen
json: Generate a simple JSON object representing a book with fields 'title' and 'author' (ID: 4).,1,json
summarize: Shorten this short statement about inflation rates: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
json: Generate a simple JSON object representing a book with fields 'title' and 'author' (ID: 12).,1,json
summarize: Shorten this short statement about quantum physics: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
"summarize: Write a comprehensive executive summary of this article about quantum physics: 'Quantum physics has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",0,gen
classify: Is this positive or negative: 'This product is absolute garbage!' (ID: 4),0,logic
"summarize: Write a comprehensive executive summary of this article about clean energy: 'Clean energy has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",1,gen
"json: Create a complex nested JSON schema for an inventory management system order with recursive reference arrays, currency constraints, and status enums (ID: 51).",0,json
code: Design a multi-threaded web crawler in C++ that respects robots.txt and uses a thread pool of size 57.,0,code
"summarize: Write a comprehensive executive summary of this article about artificial intelligence: 'Artificial intelligence has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",1,gen
explain: What is the capital city of Toronto's country?,1,gen
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,1,gen
extract: Retrieve all names and emails from this list: '1. Alex - alex@example.com; 2. Alice - alice@example.org'.,1,gen
code: Write a short haiku about quantum physics.,1,gen
json: Generate a valid JSON schema representing a user profile containing email validation and nested address fields (ID: 37).,0,json
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",1,gen
calculate: Solve this quadratic equation: x^2 + 117x - 156 = 0 and find both real roots.,1,math
"translate: Translate the following formal business email to French: 'Dear Sir, we are writing to confirm that your shipment has been delivered successfully. Please sign the attached invoice.'",1,translate
translate: Translate this philosophical text to Chinese: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',0,translate
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,1,gen
calculate: Solve this quadratic equation: x^2 + 114x - 152 = 0 and find both real roots.,1,math
summarize: Shorten this short statement about space exploration: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
json: Generate a simple JSON object representing a book with fields 'title' and 'author' (ID: 16).,0,json
json: Generate a valid JSON schema representing a user profile containing email validation and nested address fields (ID: 36).,1,json
"translate: Translate this short phrase to Russian: 'Good morning, where is the hotel?'",1,translate
"explain: A farmer needs to cross a river with a wolf, a goat, and a cabbage. If left alone, the wolf eats goat, or goat eats cabbage. Explain the steps to cross safely. (ID: 32)",0,logic
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",0,gen
extract: Retrieve all names and emails from this list: '1. Emma - emma@example.com; 2. Alice - alice@example.org'.,0,gen
summarize: Shorten this short statement about quantum physics: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
